rank,Customer_number,prob_first_time_investor,model
1,00F9FDACA2282D4758F15AE3B88CBBFE,0.9821309246437926,logreg_first_time_investor
2,00B225D09B719A988008A8C3F96A340C,0.9782181938768209,logreg_first_time_investor
3,00A8B825A9E1895061C9D7EB024B4B65,0.9747676408585694,logreg_first_time_investor
4,016EC551ACA896A31030493E5493D2D1,0.9726861045891528,logreg_first_time_investor
5,0120B944A08FE599E10CFFCD6A273EE8,0.9709748165839437,logreg_first_time_investor
6,008E9599BFD0B1FA7845F3E1E4344E30,0.969552291173986,logreg_first_time_investor
7,013D9FFBBCA7091055FB66D70A0141C1,0.9644526173188613,logreg_first_time_investor
8,0141813F181CAD4A42DE0DEC945A304D,0.960184841384981,logreg_first_time_investor
9,00C78B28DBAAA0CB97854B1379D26494,0.9581254391196808,logreg_first_time_investor
10,007B1D8C425F5A519FDC6FA437571DFC,0.9579591188477653,logreg_first_time_investor
11,00A5934152A7317F0D870F367354A571,0.9575526365630573,logreg_first_time_investor
12,00AA26F20B40C2141102C3C4C83A1F66,0.9574360126861144,logreg_first_time_investor
13,01373D36A31D54108D8063FFF7499AB7,0.956153645531425,logreg_first_time_investor
14,01614A214B346718CE46A0E6D8AC72E3,0.9559116897520502,logreg_first_time_investor
15,0154C4DE9074CC1CF6C9B13DAD8AB3B1,0.9550680047269849,logreg_first_time_investor
16,0164100066D4386B464B71F8B71987A0,0.9547421265527691,logreg_first_time_investor
17,00C642F721B2F04C682F03765930CC99,0.9541497960906029,logreg_first_time_investor
18,0038FCF7B293BF4C13B40C923EA7FAA4,0.9533054009291252,logreg_first_time_investor
19,00920FE157C8E8337519D802DECC7F87,0.9478503629378714,logreg_first_time_investor
20,004D5A6B3B51F0829E140ADD226C27B0,0.9470313152837113,logreg_first_time_investor
21,001123022FD5A0ADF263DA810DC57EB0,0.9438724131331886,logreg_first_time_investor
22,012C9FC7ABBA8EDE4B7DBBFA7588AA2B,0.9436906359416708,logreg_first_time_investor
23,00CBF19BD262B00DCA3C4C22EC31A998,0.9432336251745622,logreg_first_time_investor
24,013F8AB26D9E72F0637AD1FF5D05A50D,0.9416127440471406,logreg_first_time_investor
25,0067D1562EF2BBBFE2C3796B9BD99837,0.9413137381099945,logreg_first_time_investor
